experiment_id,instance_id,dataset,leg_id,agent_id,trial_id,task_name,trial_dir,score,status,error_type,error_phase,error_message,model,input_tokens,output_tokens,total_tokens,cost_usd,duration_sec,agent_duration_sec,env_setup_duration_sec,verifier_duration_sec,trace_id,trace_url
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,adaptive-rejection-sampler__tyjXGBo,adaptive-rejection-sampler,legs/basic/harbor/tb2-baseline-20260417-050526-basic/adaptive-rejection-sampler__tyjXGBo,,errored,ConnectTimeout,agent,timed out,,,,,,51.778617,5.008859,17.692497,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,break-filter-js-from-html__PKfzFz5,break-filter-js-from-html,legs/basic/harbor/tb2-baseline-20260417-050526-basic/break-filter-js-from-html__PKfzFz5,,errored,ConnectTimeout,agent,timed out,,,,,,25.51779,5.538652,1.789332,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,caffe-cifar-10__S4wHuKY,caffe-cifar-10,legs/basic/harbor/tb2-baseline-20260417-050526-basic/caffe-cifar-10__S4wHuKY,,errored,ConnectTimeout,agent,timed out,,,,,,26.130495,5.02362,5.232479,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,chess-best-move__zjUddxp,chess-best-move,legs/basic/harbor/tb2-baseline-20260417-050526-basic/chess-best-move__zjUddxp,,errored,ConnectTimeout,agent,timed out,,,,,,120.326806,5.005149,63.914732,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,cobol-modernization__V59WjZH,cobol-modernization,legs/basic/harbor/tb2-baseline-20260417-050526-basic/cobol-modernization__V59WjZH,,errored,ConnectTimeout,agent,timed out,,,,,,53.929559,5.004156,29.980345,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,compile-compcert__b9P7jRk,compile-compcert,legs/basic/harbor/tb2-baseline-20260417-050526-basic/compile-compcert__b9P7jRk,,failed,,,,,,,,,,,,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,configure-git-webserver__3wQssmR,configure-git-webserver,legs/basic/harbor/tb2-baseline-20260417-050526-basic/configure-git-webserver__3wQssmR,,errored,ConnectTimeout,agent,timed out,,,,,,61.790471,5.01056,13.025527,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,crack-7z-hash__a3pssbv,crack-7z-hash,legs/basic/harbor/tb2-baseline-20260417-050526-basic/crack-7z-hash__a3pssbv,,errored,ConnectTimeout,agent,timed out,,,,,,111.196259,5.011454,54.186541,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,custom-memory-heap-crash__mNei39e,custom-memory-heap-crash,legs/basic/harbor/tb2-baseline-20260417-050526-basic/custom-memory-heap-crash__mNei39e,,errored,ConnectTimeout,agent,timed out,,,,,,240.808576,5.009449,180.188577,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,db-wal-recovery__sTHf4yx,db-wal-recovery,legs/basic/harbor/tb2-baseline-20260417-050526-basic/db-wal-recovery__sTHf4yx,,failed,,,,,,,,,,,,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,distribution-search__XjHh3bA,distribution-search,legs/basic/harbor/tb2-baseline-20260417-050526-basic/distribution-search__XjHh3bA,,errored,ConnectTimeout,agent,timed out,,,,,,41.093071,5.007038,20.121605,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,feal-linear-cryptanalysis__7bpwQBe,feal-linear-cryptanalysis,legs/basic/harbor/tb2-baseline-20260417-050526-basic/feal-linear-cryptanalysis__7bpwQBe,,errored,ConnectTimeout,agent,timed out,,,,,,29.627898,5.017511,6.587985,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,gpt2-codegolf__AYAFhDo,gpt2-codegolf,legs/basic/harbor/tb2-baseline-20260417-050526-basic/gpt2-codegolf__AYAFhDo,,errored,ConnectTimeout,agent,timed out,,,,,,37.332853,5.008064,20.556624,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,hf-model-inference__yBB5qVr,hf-model-inference,legs/basic/harbor/tb2-baseline-20260417-050526-basic/hf-model-inference__yBB5qVr,,failed,,,,,,,,,,,,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,largest-eigenval__S8CT4z7,largest-eigenval,legs/basic/harbor/tb2-baseline-20260417-050526-basic/largest-eigenval__S8CT4z7,,errored,ConnectTimeout,agent,timed out,,,,,,28.546285,5.008737,11.168593,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,llm-inference-batching-scheduler__4jCVyFo,llm-inference-batching-scheduler,legs/basic/harbor/tb2-baseline-20260417-050526-basic/llm-inference-batching-scheduler__4jCVyFo,,errored,ConnectTimeout,agent,timed out,,,,,,37.254074,5.009286,12.720201,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,log-summary-date-ranges__fLi6YhA,log-summary-date-ranges,legs/basic/harbor/tb2-baseline-20260417-050526-basic/log-summary-date-ranges__fLi6YhA,,errored,ConnectTimeout,agent,timed out,,,,,,20.953085,5.006481,3.97915,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,merge-diff-arc-agi-task__6S8ookU,merge-diff-arc-agi-task,legs/basic/harbor/tb2-baseline-20260417-050526-basic/merge-diff-arc-agi-task__6S8ookU,,errored,ConnectTimeout,agent,timed out,,,,,,26.734272,5.007643,6.609844,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,modernize-scientific-stack__x6Vx9s7,modernize-scientific-stack,legs/basic/harbor/tb2-baseline-20260417-050526-basic/modernize-scientific-stack__x6Vx9s7,,errored,ConnectTimeout,agent,timed out,,,,,,75.940097,5.01138,48.220407,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,mteb-retrieve__wPkuk6L,mteb-retrieve,legs/basic/harbor/tb2-baseline-20260417-050526-basic/mteb-retrieve__wPkuk6L,,failed,,,,,,,,,,,,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,multi-source-data-merger__96HRvfL,multi-source-data-merger,legs/basic/harbor/tb2-baseline-20260417-050526-basic/multi-source-data-merger__96HRvfL,,errored,ConnectTimeout,agent,timed out,,,,,,95.9084,5.011201,42.409413,,,
tb2-baseline,tb2-baseline-20260417-050526,terminal-bench@2.0,basic,basic,overfull-hbox__W26W2py,overfull-hbox,legs/basic/harbor/tb2-baseline-20260417-050526-basic/overfull-hbox__W26W2py,,errored,ConnectTimeout,agent,timed out,,,,,,56.489581,5.004173,26.708043,,,
